"SBD","NV1.N","NV1.TH","NV2.N","NV2.TH","NV3.N","NV3.TH","NV4.N","NV4.TH"
"TLA063083","KT31","Toan,Hoa,Anh,1","KT12","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1"
"KTA069327","KT12","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"TLA086398","KT21","Toan,Ly,Hoa,1","KT31","Toan,Hoa,Sinh,1","QT12","Toan,Ly,Hoa,0","KT22","Toan,Ly,Hoa,1"
"BKT005511","KT42","Toan,Hoa,Anh,0","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA
"ABC073996","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"BKT067931","KT21","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"TLA083084","CN3","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"CON024952","KT22","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"TLA092882","KT21","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"KTA074556","KT12","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT13","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1"
"SPB059755","KT23","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"BKT096039","CN2","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1"
"CON006402","KT31","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KT51","Toan,Ly,Hoa,0"
"TLA097099","KQ2","Toan,Van,Anh,0",NA,NA,NA,NA,NA,NA
"SPB035659","KT23","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KQ1","Toan,Ly,Anh,0","KT31","Toan,Ly,Hoa,1"
"TMA024898","KT23","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1"
"SPB095796","KT21","Toan,Ly,Hoa,1","KT51","Toan,Ly,Hoa,0","KT31","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"BKT071115","KT31","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"ABC048147","KT21","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1",NA,NA
"TLA025678","KT23","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1"
"CON047370","KT22","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1",NA,NA
"TMA004375","KT12","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"SPB017491","CN3","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"KTA015673","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1"
"TMA068286","KT13","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1"
"TLA075827","KT51","Toan,Hoa,Anh,0","KT32","Toan,Hoa,Anh,1",NA,NA,NA,NA
"KTA057716","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1",NA,NA
"BKT062597","CN2","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"SPB068427","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1"
"TLA089571","KT52","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"BKT053384","KQ3","Toan,Van,Anh,0","QT11","Toan,Hoa,Anh,0",NA,NA,NA,NA
"TLA028990","KT31","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1",NA,NA
"SPB046546","CN2","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT51","Toan,Ly,Hoa,0","KT22","Toan,Ly,Hoa,1"
"CON004354","KT21","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"BKT009785","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","TA1","Anh,Toan,Van,1","KT31","Toan,Hoa,Anh,1"
"KTA056851","KT52","Toan,Ly,Hoa,0","KT21","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KQ1","Toan,Ly,Hoa,0"
"CON055531","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT14","Toan,Ly,Hoa,1","KT31","Toan,Hoa,Sinh,1"
"TLA061810","KQ2","Toan,Van,Anh,0","KQ1","Toan,Van,Anh,0",NA,NA,NA,NA
"TLA042966","KT22","Toan,Ly,Hoa,1","KT33","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"ABC076106","KT21","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1"
"SPB097905","KT21","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1",NA,NA
"KTA075796","KT12","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1",NA,NA
"TLA020996","CN1","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"SPB088842","KT14","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT51","Toan,Hoa,Anh,0"
"TLA014578","CN1","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","KT31","Toan,Hoa,Anh,1","CN3","Toan,Hoa,Anh,1"
"KTA085480","KT33","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KQ1","Toan,Ly,Hoa,0","KT21","Toan,Ly,Hoa,1"
"SPB073511","KT22","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1"
"ABC011788","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1",NA,NA
"ABC019907","KT23","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1",NA,NA
"CON053175","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT32","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1"
"TMA011510","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1",NA,NA
"TMA078335","KT22","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KQ3","Toan,Ly,Anh,0",NA,NA
"KTA084969","KT31","Toan,Hoa,Anh,1","KQ1","Toan,Van,Anh,0","KT41","Toan,Hoa,Anh,0",NA,NA
"TMA025146","KT31","Toan,Hoa,Anh,1","KT42","Toan,Hoa,Anh,0",NA,NA,NA,NA
"SPB054212","CN3","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"BKT074481","KT21","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KT33","Toan,Hoa,Anh,1","KT31","Toan,Hoa,Anh,1"
"TLA084343","CN1","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1"
"SPB081879","KT21","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"TLA009267","KT22","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1"
"TLA024784","TA2","Anh,Toan,Van,1",NA,NA,NA,NA,NA,NA
"TMA095555","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"SPB016334","CN3","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"CON062597","KT12","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"KTA092855","KT22","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1",NA,NA
"SPB032266","KT21","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1"
"KTA005501","CN2","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT52","Toan,Ly,Hoa,0","KT41","Toan,Ly,Hoa,0"
"KTA075120","KT31","Toan,Hoa,Anh,1","KT41","Toan,Hoa,Anh,0",NA,NA,NA,NA
"TLA022872","KT41","Toan,Ly,Hoa,0","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"CON027124","KT41","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"TLA072206","KT21","Toan,Ly,Hoa,1","KT31","Toan,Hoa,Sinh,1","KT11","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"ABC075182","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"ABC048399","KT31","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","QT11","Toan,Ly,Hoa,0","KT21","Toan,Ly,Hoa,1"
"TLA007407","KT41","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"TMA070835","KT31","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"BKT097901","KT31","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KQ3","Toan,Ly,Hoa,0"
"BKT054485","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT41","Toan,Ly,Hoa,0","CN3","Toan,Ly,Hoa,1"
"SPB093205","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1",NA,NA
"TLA011140","KT31","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1"
"SPB045936","CN1","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1"
"SPB023011","KQ1","Toan,Van,Anh,0",NA,NA,NA,NA,NA,NA
"TMA000248","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1","KT23","Toan,Ly,Anh,1"
"SPB034202","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"SPB049622","KT41","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"CON008567","KT51","Toan,Hoa,Anh,0","KQ2","Toan,Van,Anh,0",NA,NA,NA,NA
"TLA012814","KT11","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT32","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"KTA095704","KT12","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"CON059592","KT41","Toan,Ly,Hoa,0","KT21","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"TLA014729","KT22","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1"
"KTA030414","CN3","Toan,Hoa,Anh,1","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"ABC025869","KT22","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1",NA,NA,NA,NA
"ABC072738","KT12","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1"
"KTA090319","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1"
"KTA034429","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"BKT007261","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KT33","Toan,Ly,Hoa,1"
"SPB072176","CN2","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","QT11","Toan,Ly,Hoa,0"
"ABC056678","KT11","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KQ1","Toan,Ly,Hoa,0"
"KTA012515","KT21","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1",NA,NA,NA,NA
"BKT099788","CN2","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"TLA053523","KT31","Toan,Ly,Hoa,1","KT52","Toan,Ly,Hoa,0","TA1","Anh,Toan,Van,1","KT21","Toan,Ly,Hoa,1"
"BKT015016","KT11","Toan,Ly,Hoa,1","KT51","Toan,Ly,Hoa,0","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"ABC065676","KT11","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"TLA047515","CN2","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1",NA,NA
"BKT055757","KT31","Toan,Hoa,Sinh,1","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"TLA025209","KT22","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","KQ1","Toan,Ly,Hoa,0","KT31","Toan,Ly,Hoa,1"
"SPB095883","KT13","Toan,Ly,Anh,1","KT31","Toan,Hoa,Anh,1","KT22","Toan,Ly,Anh,1","KQ3","Toan,Ly,Anh,0"
"KTA048905","KT31","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"TMA027415","CN3","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT41","Toan,Ly,Hoa,0","KT31","Toan,Ly,Hoa,1"
"CON041675","KT21","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1"
"ABC041907","KT21","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KQ1","Toan,Ly,Anh,0",NA,NA
"TMA064967","KT12","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"CON058401","KT11","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1"
"KTA098529","KT21","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"CON000093","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KQ3","Toan,Ly,Anh,0",NA,NA
"KTA015437","KT41","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"TLA014927","KT12","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1",NA,NA,NA,NA
"KTA084700","CN2","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1"
"TMA093223","KT31","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"ABC082046","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1",NA,NA
"BKT067511","KT21","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT51","Toan,Ly,Hoa,0"
"ABC042495","KT41","Toan,Hoa,Anh,0","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA
"SPB044643","KT12","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"ABC056177","TA2","Anh,Toan,Van,1",NA,NA,NA,NA,NA,NA
"CON035351","KQ2","Toan,Van,Anh,0",NA,NA,NA,NA,NA,NA
"ABC039678","CN2","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KQ2","Toan,Ly,Hoa,0","KT22","Toan,Ly,Hoa,1"
"TMA054390","KT22","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1",NA,NA
"TMA019187","TA2","Anh,Toan,Van,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN3","Toan,Ly,Hoa,1"
"BKT033529","KQ1","Toan,Van,Anh,0","KT31","Toan,Hoa,Sinh,1",NA,NA,NA,NA
"BKT002717","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","TA1","Anh,Toan,Van,1","KT21","Toan,Ly,Hoa,1"
"SPB090529","KT21","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1"
"TMA004355","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KQ1","Toan,Ly,Hoa,0"
"TLA044115","KT51","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"ABC035537","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT14","Toan,Ly,Hoa,1"
"TLA021279","KT22","Toan,Ly,Anh,1","TA2","Anh,Toan,Van,1","CN2","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1"
"ABC072075","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1"
"TMA021152","KT12","Toan,Ly,Anh,1","CN3","Toan,Hoa,Anh,1","KQ2","Toan,Van,Anh,0","KT22","Toan,Ly,Anh,1"
"CON049528","KT21","Toan,Ly,Anh,1","KT23","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1"
"TMA099005","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT31","Toan,Hoa,Anh,1","KT12","Toan,Ly,Hoa,1"
"BKT064191","KT31","Toan,Hoa,Sinh,1",NA,NA,NA,NA,NA,NA
"TLA086888","KT11","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"KTA014883","CN3","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"KTA083825","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"BKT096552","KQ1","Toan,Van,Anh,0",NA,NA,NA,NA,NA,NA
"KTA082107","KT22","Toan,Ly,Hoa,1","KT31","Toan,Hoa,Anh,1","KT21","Toan,Ly,Hoa,1","KT51","Toan,Hoa,Anh,0"
"BKT017623","CN1","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","QT11","Toan,Ly,Anh,0","KT12","Toan,Ly,Anh,1"
"TLA086727","KT41","Toan,Ly,Hoa,0","KT12","Toan,Ly,Hoa,1","CN3","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1"
"TMA034984","KT21","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","KT13","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1"
"CON027031","KQ1","Toan,Van,Anh,0","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA
"KTA007982","KT14","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"CON016324","KT31","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"CON048899","KT13","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT42","Toan,Ly,Hoa,0"
"SPB008674","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT13","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1"
"ABC024546","KT21","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","KT31","Toan,Hoa,Anh,1","KT22","Toan,Ly,Anh,1"
"TMA012345","KT51","Toan,Ly,Hoa,0","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"CON064706","QT14","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"SPB020948","KT21","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1","KT13","Toan,Ly,Anh,1",NA,NA
"TLA042855","KT31","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"BKT001658","KT22","Toan,Ly,Hoa,1","KT41","Toan,Ly,Hoa,0","CN2","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"TLA056539","KT11","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1"
"TLA079248","KT22","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1",NA,NA
"TMA018882","CN1","Toan,Ly,Hoa,1","KT51","Toan,Ly,Hoa,0","KT31","Toan,Ly,Hoa,1",NA,NA
"TLA038488","KQ2","Toan,Ly,Anh,0","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1",NA,NA
"TMA099757","KT21","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","KT23","Toan,Ly,Anh,1"
"TMA022467","KT22","Toan,Ly,Anh,1","KT14","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1"
"SPB069894","KT11","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","TA2","Anh,Toan,Van,1","KT22","Toan,Ly,Anh,1"
"TLA040112","KT41","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"TMA091401","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"TMA079163","KT21","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KT14","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"TLA006240","KT42","Toan,Ly,Hoa,0","KT22","Toan,Ly,Hoa,1","KT51","Toan,Ly,Hoa,0","KT21","Toan,Ly,Hoa,1"
"SPB085277","KT42","Toan,Hoa,Anh,0","KT41","Toan,Hoa,Anh,0",NA,NA,NA,NA
"BKT087490","KT21","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1","KT32","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"TLA070728","KT21","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1",NA,NA,NA,NA
"TLA020772","KT31","Toan,Hoa,Sinh,1","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"TMA048876","KT12","Toan,Ly,Hoa,1","KT31","Toan,Hoa,Sinh,1","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
